lexeme,stem,class
"ma/""'a""na/+",maana,oCi
"ma/""'a""lu/+fi""",maalufi,ai
ma'aji/,maaji,ai
"ma'a""iki/+",maaiki,Ca
ma'aikaci/,maaikaci,RED
"ma/""'a""du/+di""",maadudi,ai
"lu'u""lu+'u""",luuluu,Cai
"lu/sa""ri/+",lusari,ai
lu/ru/,luru,aye
"lunsa""yi/+",lunsayi,ai
"lu/""da/+ri/+",ludari,ai
"lo/ka""ci/+",lokaci,RED
"li""ya/+ri""",liyari,ai
"li/wa""li/+",liwali,ai
"li""nza/+mi""",linzami,ai
"li/""ma/+mi""",limami,ai
"li""kka/+fa""",likkafa,a-u
"lifi""di/+",lifidi,RED
li>dda+i,liddai,una
"li""'a+bbi""",liabbi,ai
"le/she""",leshe,Ca
"le/""fe/+",lefe,una
"le/bu""ra""",lebura,oCi
"la/yi""",layi,RED
"la/""wa/+ni""",lawani,ai
"lauma""",lauma,oCi
"la""uje/+",lauje,una
"la""mbu/+",lambu,una
"lamba""",lamba,oCi
lallo/ki/,lalloki,ai
"la""lla+usa/+",lallausa,a-a
"la""lla+fsa+",lallafsa,a-a
"la""lla+bk'a/+",lallabka,a-a
"la/""li/+ta""",lalita,Cai
"la/""da>n",ladan,Cai
k'yu>ya/+,kyuya,RED-e
kyaur+o/,kyauro,a-e
"kya""nkya+so""",kyankyaso,Cai
kyankyandi/,kyankyandi,ai
k'yalle/,kyalle,aye
"kya""kkya/+wa/+",kyakkyawa,awa
"k'wi/ya""ka/+",kwiyaka,oCi
"kwa""za+zza+bo""",kwazazzabo,Cai
"kwa""za+nza+mo/""",kwazanzamo,Cai
"kwa""tarni""ya/+",kwatarniya,i
"kwa/take/ke""",kwatakeke,RED-comp
"kwartake/ke""",kwartakeke,RED-comp
"kwa""r+o/+r+o""",kwaroro,Cai
"kwar+o""",kwaro,RED
kwarkwa'da/,kwarkwada,Cai
"kwa""r+ga/+",kwarga,a-i
"kwantar+e/r+e""",kwantarere,RED-comp
"kwankwar+ame/me""",kwankwarameme,RED-comp
